<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,D,19840907,000000,0.10122,0.10246,0.1,0.10122,97236149,0
AAPL.US,D,19840910,000000,0.10122,0.10153,0.09878,0.10062,75471114,0
AAPL.US,D,19840911,000000,0.10153,0.10428,0.10153,0.10246,177965367,0
AAPL.US,D,19840912,000000,0.10246,0.10306,0.09938,0.09938,155467926,0
AAPL.US,D,19840913,000000,0.1049,0.1052,0.1049,0.1049,242135546,0
AAPL.US,D,19840914,000000,0.1052,0.10886,0.1052,0.10642,288307609,0
AAPL.US,D,19840917,000000,0.10918,0.1107,0.10918,0.10918,225105428,0
AAPL.US,D,19840918,000000,0.10918,0.11008,0.1052,0.1052,113638373,0
AAPL.US,D,19840919,000000,0.1052,0.10642,0.10306,0.10306,124128457,0
AAPL.US,D,19840920,000000,0.10336,0.10428,0.10336,0.10336,77276199,0
AAPL.US,D,19840921,000000,0.10336,0.10642,0.10122,0.10246,116594368,0
AAPL.US,D,19840924,000000,0.10246,0.10306,0.10153,0.10153,92265803,0
AAPL.US,D,19840925,000000,0.10122,0.10122,0.09938,0.09938,194786208,0
AAPL.US,D,19840926,000000,0.09938,0.10396,0.09817,0.09817,129595880,0
AAPL.US,D,19840927,000000,0.09817,0.09878,0.09817,0.09817,123709896,0
AAPL.US,D,19840928,000000,0.09817,0.09817,0.09389,0.09572,272585537,0
AAPL.US,D,19841001,000000,0.09543,0.09543,0.09358,0.09358,114187709,0
AAPL.US,D,19841002,000000,0.09419,0.09755,0.09419,0.09419,138097766,0
AAPL.US,D,19841003,000000,0.09572,0.09724,0.09572,0.09572,140635330,0
AAPL.US,D,19841004,000000,0.09692,0.09755,0.09692,0.09692,146547444,0
AAPL.US,D,19841005,000000,0.09692,0.09692,0.09419,0.09481,113952297,0
AAPL.US,D,19841008,000000,0.09481,0.09543,0.09481,0.09481,54857205,0
AAPL.US,D,19841009,000000,0.09481,0.09543,0.09389,0.09389,146285827,0
AAPL.US,D,19841010,000000,0.09389,0.09389,0.09112,0.09112,426091495,0
AAPL.US,D,19841011,000000,0.09112,0.09358,0.09052,0.09052,213438159,0
AAPL.US,D,19841012,000000,0.09052,0.09112,0.08592,0.08654,310412707,0
AAPL.US,D,19841015,000000,0.09142,0.09235,0.09142,0.09142,284095878,0
