X1,X2,X3,X4,X5,X6,X7,X8,Y
NA,Neutral,5.91,6.11,4.69,92.73,31.63,36.55,112.16
Yes,Neutral,6.58,6.43,2.36,90.29,NA,84.49,112.72
No,NA,4.62,4.63,2.66,93.74,55.3,53.87,98.09
Yes,Cold,7.78,7.84,8.7,68.43,NA,17.49,107.07
No,Cold,3.6,3.67,7.11,97.34,95.72,95.65,112.63
Yes,Neutral,5.4,5.23,8.11,92.01,39.21,41.27,104.54
No,Cold,4.55,4.38,4.76,46.56,37.5,39.83,103.31
No,Neutral,4.68,4.75,6.47,86.56,NA,11.51,102.71
Yes,Neutral,2.5,2.59,5.46,86.38,86.43,88.17,100.02
No,Neutral,6.34,6.04,13.5,81.6,73.1,75.5,112.27
Yes,Cold,3.86,3.87,1.2,94.22,99.46,NA,104.07
Yes,Neutral,6.68,6.97,NA,NA,82.12,80.45,111.93
No,Neutral,4.09,4.23,9.91,98.3,59.93,55.15,111.15
No,Neutral,4.31,4.39,52.16,99.5,14.31,15.3,102.22
No,Cold,6.54,6.34,6.02,84.01,94.52,96.18,100.57
Yes,Neutral,3.85,3.84,12.77,95.27,10.64,NA,108.84
Yes,Neutral,6.63,6.76,20.16,97.75,23.41,20.72,113.39
NA,Cold,9.1,9.39,8.05,NA,NA,17.32,116.2
No,Hot,3.43,3.27,10.18,90.56,2.56,1.07,89.26
Yes,Neutral,7.49,7.32,6.57,NA,55.83,58.21,113.21
Yes,Neutral,2.95,2.99,3.72,95.81,72.85,69.2,110.39
Yes,Hot,3.29,3.4,5.99,98.69,31.33,29.04,99.76
No,Neutral,3.34,3.45,61.77,NA,1.03,5.66,106.37
Yes,Cold,7.48,7.41,3.72,81.83,12.34,7.82,117.99
Yes,Neutral,3.49,3.34,6.56,96.99,47.74,46.76,102.55
Yes,Neutral,NA,6.36,NA,87.11,38.7,43.36,113.24
Yes,Hot,3.75,3.58,1.32,99.18,34.23,29.74,90.45
Yes,Neutral,4.56,4.65,2.64,96.07,28.65,32.25,112.11
Yes,Neutral,4.5,4.55,20.92,66.08,1.91,1,115.3
No,Neutral,3.79,3.84,3.04,52.03,75.21,79.63,103.53
