Model,Shift_Type,Intensity,Accuracy,Accuracy_Lower_CI,Accuracy_Upper_CI,F1_Score,F1_Lower_CI,F1_Upper_CI,ROC_AUC,ROC_Lower_CI,ROC_Upper_CI,Brier_Score,Brier_Lower_CI,Brier_Upper_CI,KS_Statistic
Naive Baseline,Baseline,0.0,0.7606715119254785,0.7517018118538233,0.7701095301463814,0.6572732564090966,0.6451504832730065,0.6700927052223681,0.5,0.5,0.5,0.23932848807452145,0.22989046985361858,0.24829818814617666,0.0
Naïve Bayes,Baseline,0.0,0.6204319787081585,0.6123451735080356,0.6303127239226123,0.6444940173199663,0.6377440455544506,0.6537370524487877,0.8286390193256719,0.8196971404291301,0.8371590363500567,0.3752305848714786,0.36568822884506036,0.3834580905539392,0.0
Logistic Regression,Baseline,0.0,0.8523902139420616,0.844436482751561,0.8585858327362064,0.8462265344894027,0.8374657119002457,0.8528420712699738,0.9042148127759706,0.8961965075254817,0.9085246283912447,0.10268197856964122,0.09949458013799335,0.10725817070795354,0.0
SVM (RBF),Baseline,0.0,0.8595557375371071,0.853618589415498,0.8672382024772239,0.8528198748328206,0.8464034946881565,0.8611753479694668,0.8992313544662219,0.8924389916453273,0.9065579000586491,0.10539242119919716,0.09972082362391213,0.10982500255789657,0.0
Decision Tree,Baseline,0.0,0.8141058450199611,0.8072960384890981,0.8214377111270345,0.8146168386738857,0.807900850997536,0.8218990284152956,0.7475064001991978,0.737780667087749,0.7578722954250395,0.1858941549800389,0.1785622888729655,0.19270396151090183,0.0
Random Forest,Baseline,0.0,0.8601699252738254,0.8538028457365134,0.8661608148223974,0.8562771085514516,0.8489010127932194,0.8623208861842172,0.9038290568065093,0.8969506398576356,0.9098251991984889,0.10050644783385083,0.0974578462270106,0.10458948480027525,0.0
Gradient Boosting,Baseline,0.0,0.86764254273723,0.8612703449687789,0.8754862319582353,0.8607715132195612,0.8535411561194424,0.8693588271341417,0.9214262230484529,0.9155048733729797,0.9267913667127908,0.09171621575279151,0.08848053988944578,0.09514470163582597,0.0
AdaBoost,Baseline,0.0,0.8565871634763026,0.8507472617463404,0.8641237588289487,0.8496634940844863,0.8436007777363186,0.8578435967012056,0.9096907114313963,0.9037829124757144,0.9157739849801373,0.17136479538012694,0.1699574092940692,0.17258006470008305,0.0
Naive Baseline,Covariate Shift,0.2,0.7606715119254785,0.752461869178012,0.7695772341078924,0.6572732564090966,0.646175450637212,0.6693679234133318,0.5,0.5,0.5,0.23932848807452145,0.2304227658921077,0.24753813082198792,0.013480933370379578
Naïve Bayes,Covariate Shift,0.2,0.616644487665063,0.60848346811342,0.6255860374654519,0.6406326822448216,0.6323445455735887,0.6484239123496045,0.8248792224651569,0.8164665863987628,0.832829020303142,0.3788340570487195,0.369933728633163,0.3869608773950394,0.013480933370379578
Logistic Regression,Covariate Shift,0.2,0.8489098167673252,0.8408076568737844,0.8564617668133894,0.8433835039122812,0.8348636801161297,0.85151370993428,0.8974298361003351,0.8912034670127175,0.904961263537656,0.10613062166193628,0.1019798666438614,0.11056234066623198,0.013480933370379578
SVM (RBF),Covariate Shift,0.2,0.8570989865902344,0.8517222847783806,0.86539052103593,0.8505745149364313,0.8445335976379351,0.8600235204169734,0.8795784634664001,0.8717594198194093,0.8892854603828725,0.10710889792309777,0.10133028908817714,0.11042159867137732,0.013480933370379578
Decision Tree,Covariate Shift,0.2,0.7938376497082609,0.7870764663732214,0.8015303511106561,0.7940182114522938,0.7868300982495522,0.8017793506776392,0.717767734615549,0.7076667099059659,0.7263281515887098,0.20616235029173918,0.19846964888934385,0.2129235336267786,0.013480933370379578
Random Forest,Covariate Shift,0.2,0.8506500153546934,0.8420206776538028,0.8575621865083427,0.8446396052707004,0.8360231319174807,0.8526255385274399,0.8991916679933863,0.8905941215596924,0.9064009406115323,0.10401362672171607,0.10007706841226782,0.10853409373898158,0.013480933370379578
Gradient Boosting,Covariate Shift,0.2,0.8573037158358071,0.850435049646842,0.8647277101033882,0.8504598436712477,0.8424147917050046,0.8586142482534802,0.9073970117323458,0.9001026985010683,0.9124088150125343,0.10055741934464213,0.09677594145631087,0.10509054555676317,0.013480933370379578
AdaBoost,Covariate Shift,0.2,0.8489098167673252,0.8415293274644283,0.8562365646432593,0.8426314154803987,0.8344665478645672,0.8497307075336681,0.900375758086457,0.8930818632013044,0.9068371625010475,0.17396356752280565,0.17244304460063267,0.17540805646622687,0.013480933370379578
Naive Baseline,Covariate Shift,0.5,0.7606715119254785,0.7540357252533525,0.7703731190500563,0.6572732564090966,0.6482992453387568,0.6704517110577919,0.5,0.5,0.5,0.23932848807452145,0.2296268809499437,0.24596427474664756,0.014794125245553232
Naïve Bayes,Covariate Shift,0.5,0.5952502815027126,0.5850419694953424,0.603610912068789,0.618351209157554,0.6086359901619437,0.625829068840301,0.8058195852369313,0.7979945354928095,0.812936160841883,0.40062743995194666,0.392846284532748,0.41043555102953444,0.014794125245553232
Logistic Regression,Covariate Shift,0.5,0.8136963865288156,0.8048136963865288,0.8217652779199509,0.8115399370409703,0.8023792185764909,0.8194132813697202,0.8640804209678572,0.8556979126902203,0.8706731710095337,0.1258822241316781,0.12102298623810569,0.13083197256896353,0.014794125245553232
SVM (RBF),Covariate Shift,0.5,0.8363189681646023,0.8308936431569249,0.8448152318558706,0.8316866667668706,0.8261506914951567,0.8409290857293255,0.8299386577787387,0.821344132252556,0.8419406399302587,0.12284358671928142,0.11741326933585311,0.1270234620448813,0.014794125245553232
Decision Tree,Covariate Shift,0.5,0.7527894359709284,0.7446130617258676,0.7614622786365032,0.7579140683466453,0.7503232581182772,0.7659726627708282,0.6836041280378282,0.6749047176166243,0.6935350838592463,0.24721056402907154,0.2385377213634968,0.25538693827413245,0.014794125245553232
Random Forest,Covariate Shift,0.5,0.8193264407820657,0.8116235029173918,0.8274183642133279,0.8153228597627749,0.8070222358335155,0.8237568752003472,0.8674720747097995,0.8588419099996752,0.8745734875731385,0.12405764350951423,0.11974928002837776,0.12866949747500597,0.014794125245553232
Gradient Boosting,Covariate Shift,0.5,0.8163578667212611,0.8083145664858226,0.8242655338315078,0.8118137746134628,0.8040848266343099,0.8195385107438773,0.8627822214731965,0.8551728484949541,0.8708796524586845,0.13101116949304983,0.12586351987285563,0.1357778356412819,0.014794125245553232
AdaBoost,Covariate Shift,0.5,0.8170744190807657,0.8103132357457262,0.8240889548572014,0.8119312588019697,0.8048345465846712,0.8196811771570458,0.8616659351002132,0.8546800416098762,0.8684679224382889,0.17956037262450156,0.17794609526823932,0.18094116419466943,0.014794125245553232
Naive Baseline,Covariate Shift,1.0,0.7606715119254785,0.7527894359709284,0.7685740608045859,0.6572732564090966,0.6466172413864636,0.6680027186887523,0.5,0.5,0.5,0.23932848807452145,0.23142593919541404,0.24721056402907154,0.01652944932707447
Naïve Bayes,Covariate Shift,1.0,0.5227761285699662,0.5135761080970417,0.530458593510083,0.5384015719115248,0.5289865036833284,0.5466609584654494,0.7457141199462773,0.7369404488642862,0.7559128291022593,0.47369684950379587,0.46581374897448036,0.48263216434117967,0.01652944932707447
Logistic Regression,Covariate Shift,1.0,0.763332992117924,0.7564208209642748,0.7710743167161429,0.7676032078205126,0.7606744371404903,0.7758211105211767,0.7932174753094883,0.7857230787937789,0.8036455085799956,0.17696986320779295,0.17110961365497004,0.18083185716478703,0.01652944932707447
SVM (RBF),Covariate Shift,1.0,0.7767427577029379,0.7687967038591463,0.7838161531374757,0.7780317925819681,0.7693916309280883,0.7852758919068965,0.7574810584149194,0.7457666407631307,0.7689146354776666,0.16666351418794376,0.1619611615076427,0.17160320391334838,0.01652944932707447
Decision Tree,Covariate Shift,1.0,0.6715119254785546,0.6606510390009213,0.6785341386016992,0.6908537619190639,0.6812174612502253,0.6979623794973477,0.63868047974643,0.625818664537606,0.646647953464997,0.3284880745214454,0.32146586139830075,0.33934896099907874,0.01652944932707447
Random Forest,Covariate Shift,1.0,0.7335448868870919,0.7257063158972259,0.7426911659330535,0.7426163343720708,0.7350902187654633,0.7510893996566427,0.7927973857924615,0.7832064612393036,0.8004593076866252,0.1736667087499005,0.16906148940526153,0.17912429641382605,0.01652944932707447
Gradient Boosting,Covariate Shift,1.0,0.73190705292251,0.7251842563210155,0.7423252124065923,0.7420498404562943,0.7358293388785,0.7520538423936947,0.7772999764356172,0.7695356664692646,0.7876689463076412,0.20105363120894607,0.19502547552739008,0.20587244915732064,0.01652944932707447
AdaBoost,Covariate Shift,1.0,0.7452144538847374,0.7369075647456239,0.7529813696386528,0.7523251348686665,0.7443895973138229,0.760370288085446,0.7901811867354742,0.7824512602939633,0.797588370665289,0.19563919067530824,0.19399444286810472,0.19745514714575332,0.01652944932707447
Naive Baseline,Covariate Shift,1.5,0.7606715119254785,0.752267376394718,0.7664090490326543,0.6572732564090966,0.6459130916066983,0.6650586783516701,0.5,0.5,0.5,0.23932848807452145,0.2335909509673457,0.24773262360528203,0.018097090407459944
